experiment_name,n_features,stratify_by,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,PearsonR_mean,PearsonR_std,SpearmanR_mean,SpearmanR_std,MAE,RMSE,R2,PearsonR,SpearmanR
combo_2_Gene_Expr+Pathway_Drug_PC,1374,random,26.365,0.281,36.895,0.313,0.643,0.003,0.802,0.002,0.794,0.004,26.365 +/- 0.281,36.895 +/- 0.313,0.643 +/- 0.003,0.802 +/- 0.002,0.794 +/- 0.004
combo_2_Gene_Expr+Pathway_Drug_Embed,1157,inhibitor,46.765,4.486,59.911,5.894,0.107,0.052,0.318,0.077,0.292,0.082,46.765 +/- 4.486,59.911 +/- 5.894,0.107 +/- 0.052,0.318 +/- 0.077,0.292 +/- 0.082
combo_2_Gene_Expr+Pathway_Drug_Embed,1157,dbgap_rnaseq_sample,31.300,1.906,42.946,3.225,0.522,0.038,0.722,0.026,0.715,0.019,31.300 +/- 1.906,42.946 +/- 3.225,0.522 +/- 0.038,0.722 +/- 0.026,0.715 +/- 0.019
combo_2_Gene_Expr+Pathway_Drug_Embed,1157,random,26.033,0.258,36.498,0.236,0.650,0.002,0.807,0.001,0.799,0.003,26.033 +/- 0.258,36.498 +/- 0.236,0.650 +/- 0.002,0.807 +/- 0.001,0.799 +/- 0.003
combo_2_Gene_Expr+Pathway_Drug_PC+Drug_Embed,1630,inhibitor,47.295,2.512,60.635,4.064,0.084,0.050,0.276,0.086,0.253,0.100,47.295 +/- 2.512,60.635 +/- 4.064,0.084 +/- 0.050,0.276 +/- 0.086,0.253 +/- 0.100
combo_2_Gene_Expr+Pathway_Drug_PC+Drug_Embed,1630,dbgap_rnaseq_sample,31.486,0.762,43.030,1.703,0.514,0.034,0.717,0.024,0.710,0.026,31.486 +/- 0.762,43.030 +/- 1.703,0.514 +/- 0.034,0.717 +/- 0.024,0.710 +/- 0.026
combo_2_Gene_Expr+Pathway_Drug_PC+Drug_Embed,1630,random,26.032,0.246,36.393,0.219,0.652,0.003,0.807,0.002,0.800,0.003,26.032 +/- 0.246,36.393 +/- 0.219,0.652 +/- 0.003,0.807 +/- 0.002,0.800 +/- 0.003
combo_2_Mutation+Pathway_Drug_PC,964,inhibitor,45.032,3.668,57.645,4.374,0.127,0.030,0.354,0.043,0.329,0.050,45.032 +/- 3.668,57.645 +/- 4.374,0.127 +/- 0.030,0.354 +/- 0.043,0.329 +/- 0.050
combo_2_Mutation+Pathway_Drug_PC,964,dbgap_rnaseq_sample,32.767,1.213,44.291,2.288,0.485,0.037,0.696,0.027,0.690,0.022,32.767 +/- 1.213,44.291 +/- 2.288,0.485 +/- 0.037,0.696 +/- 0.027,0.690 +/- 0.022
combo_2_Mutation+Pathway_Drug_PC,964,random,26.500,0.274,36.903,0.332,0.641,0.003,0.801,0.002,0.793,0.003,26.500 +/- 0.274,36.903 +/- 0.332,0.641 +/- 0.003,0.801 +/- 0.002,0.793 +/- 0.003
combo_2_Mutation+Pathway_Drug_Embed,747,inhibitor,46.793,3.241,59.443,3.991,0.101,0.030,0.313,0.048,0.287,0.050,46.793 +/- 3.241,59.443 +/- 3.991,0.101 +/- 0.030,0.313 +/- 0.048,0.287 +/- 0.050
combo_2_Mutation+Pathway_Drug_Embed,747,dbgap_rnaseq_sample,32.431,0.714,43.958,1.220,0.492,0.024,0.701,0.017,0.696,0.017,32.431 +/- 0.714,43.958 +/- 1.220,0.492 +/- 0.024,0.701 +/- 0.017,0.696 +/- 0.017
combo_2_Mutation+Pathway_Drug_Embed,747,random,26.398,0.225,36.678,0.203,0.645,0.003,0.803,0.002,0.796,0.003,26.398 +/- 0.225,36.678 +/- 0.203,0.645 +/- 0.003,0.803 +/- 0.002,0.796 +/- 0.003
combo_2_Mutation+Pathway_Drug_PC+Drug_Embed,1220,inhibitor,46.303,4.411,58.474,5.420,0.116,0.024,0.338,0.036,0.313,0.043,46.303 +/- 4.411,58.474 +/- 5.420,0.116 +/- 0.024,0.338 +/- 0.036,0.313 +/- 0.043
combo_2_Mutation+Pathway_Drug_PC+Drug_Embed,1220,dbgap_rnaseq_sample,32.899,1.344,44.318,1.857,0.483,0.027,0.695,0.019,0.690,0.018,32.899 +/- 1.344,44.318 +/- 1.857,0.483 +/- 0.027,0.695 +/- 0.019,0.690 +/- 0.018
combo_2_Mutation+Pathway_Drug_PC+Drug_Embed,1220,random,26.565,0.243,36.759,0.281,0.643,0.002,0.802,0.001,0.794,0.003,26.565 +/- 0.243,36.759 +/- 0.281,0.643 +/- 0.002,0.802 +/- 0.001,0.794 +/- 0.003
