feature,feature_value,shap_value,sample_idx,true_label,pred_val,base_value
CEACAM8_Expr,0.25126201430905537,-1.0429458618164062,11511,254.031908100948,254.03027,197.29434204101562
SALL4_Expr,0.09465939120039392,-1.0419807434082031,11511,254.031908100948,254.03027,197.29434204101562
MKRN3_Expr,-1.414516807027966,1.0065574645996094,11511,254.031908100948,254.03027,197.29434204101562
NKX2-3_Expr,-0.7871010784683561,-0.9994621276855469,11511,254.031908100948,254.03027,197.29434204101562
PRKY_Expr,-1.05922170852638,-0.9938468933105469,11511,254.031908100948,254.03027,197.29434204101562
JAZF1_Expr,0.9918661769898962,0.9345703125,11511,254.031908100948,254.03027,197.29434204101562
TTTY14_Expr,-1.2232094526512984,-0.9326934814453125,11511,254.031908100948,254.03027,197.29434204101562
Monocyte-like,1.4230483299474876,0.9321517944335938,11511,254.031908100948,254.03027,197.29434204101562
AUC__Proliferation,1.8126401866535677,0.9077644348144531,11511,254.031908100948,254.03027,197.29434204101562
PAX8_Expr,0.02312191317038898,0.8721923828125,11511,254.031908100948,254.03027,197.29434204101562
MN1_Expr,-1.6273362081169132,0.8715629577636719,11511,254.031908100948,254.03027,197.29434204101562
LRP1B_Expr,-1.1687663598930915,-0.8691635131835938,11511,254.031908100948,254.03027,197.29434204101562
SNCAIP_Expr,-1.0233520930494422,0.8642120361328125,11511,254.031908100948,254.03027,197.29434204101562
MECOM_Expr,2.535398705206549,0.8585929870605469,11511,254.031908100948,254.03027,197.29434204101562
LS_46,0.9952591678324306,0.8495254516601562,11511,254.031908100948,254.03027,197.29434204101562
AL589743.1_Expr,-0.44801940511746635,0.8434829711914062,11511,254.031908100948,254.03027,197.29434204101562
LS_34,0.12997198935366217,0.8344802856445312,11511,254.031908100948,254.03027,197.29434204101562
SRSF2_Mut,-0.36504989256929027,0.8273429870605469,11511,254.031908100948,254.03027,197.29434204101562
M3,-0.7332417107933721,-0.8253288269042969,11511,254.031908100948,254.03027,197.29434204101562
LS_92,-0.7396217094616251,0.8110504150390625,11511,254.031908100948,254.03027,197.29434204101562
ADAMTS2_Expr,1.823159530429122,-0.8080787658691406,11511,254.031908100948,254.03027,197.29434204101562
IGSF10_Expr,-1.1913676918327374,-0.7972068786621094,11511,254.031908100948,254.03027,197.29434204101562
LAMB2_Expr,-0.8194083535962611,0.7890434265136719,11511,254.031908100948,254.03027,197.29434204101562
LS_200,0.3586522311808177,0.7596511840820312,11511,254.031908100948,254.03027,197.29434204101562
M11,-1.1513452750330055,0.7510261535644531,11511,254.031908100948,254.03027,197.29434204101562
GSTM1_Expr,1.066944949585638,0.74639892578125,11511,254.031908100948,254.03027,197.29434204101562
AC016735.1_Expr,-0.3193257507224429,0.7450981140136719,11511,254.031908100948,254.03027,197.29434204101562
EREG_Expr,0.18532695092052417,0.7256927490234375,11511,254.031908100948,254.03027,197.29434204101562
CHRDL1_Expr,-0.18286857368742612,-0.7114639282226562,11511,254.031908100948,254.03027,197.29434204101562
CD300E_Expr,1.246575563530106,-0.709014892578125,11511,254.031908100948,254.03027,197.29434204101562
RPS4Y1_Expr,-1.0401674860523986,0.6923866271972656,11511,254.031908100948,254.03027,197.29434204101562
LAMP5_Expr,-0.1643016530339479,-0.6853561401367188,11511,254.031908100948,254.03027,197.29434204101562
CDH4_Expr,-1.431881215233544,0.6838417053222656,11511,254.031908100948,254.03027,197.29434204101562
KIAA1456_Expr,0.5570592754540186,0.6812553405761719,11511,254.031908100948,254.03027,197.29434204101562
RBPMS_Expr,-1.4377212600060865,-0.6643180847167969,11511,254.031908100948,254.03027,197.29434204101562
FOXC1_Expr,-0.7929367724737619,-0.6608657836914062,11511,254.031908100948,254.03027,197.29434204101562
M21,-0.76143874484596,-0.6540908813476562,11511,254.031908100948,254.03027,197.29434204101562
RP11-704M14.1_Expr,-0.9249135849761718,-0.6514358520507812,11511,254.031908100948,254.03027,197.29434204101562
KCNE1L_Expr,-0.36147004489094625,0.6389389038085938,11511,254.031908100948,254.03027,197.29434204101562
LS_253,0.38278067889616085,0.632110595703125,11511,254.031908100948,254.03027,197.29434204101562
CSPG4_Expr,0.9108484208775623,0.6090621948242188,11511,254.031908100948,254.03027,197.29434204101562
PPARGC1A_Expr,1.8493509487636468,0.594207763671875,11511,254.031908100948,254.03027,197.29434204101562
BCLAF1_Expr,-1.4105477958437205,0.5929183959960938,11511,254.031908100948,254.03027,197.29434204101562
CES1_Expr,1.824544245815526,-0.5870361328125,11511,254.031908100948,254.03027,197.29434204101562
RP11-129J12.2_Expr,-1.1035223708138036,-0.5756301879882812,11511,254.031908100948,254.03027,197.29434204101562
GJA1_Expr,-0.5629899644649848,-0.56610107421875,11511,254.031908100948,254.03027,197.29434204101562
M23,1.432806294162152,0.5555191040039062,11511,254.031908100948,254.03027,197.29434204101562
LS_243,-0.058016371705399535,-0.552642822265625,11511,254.031908100948,254.03027,197.29434204101562
XIST_Expr,1.0416537245729587,-0.5475273132324219,11511,254.031908100948,254.03027,197.29434204101562
cDC-like,1.0680026876752524,-0.52288818359375,11511,254.031908100948,254.03027,197.29434204101562
ST18_Expr,-0.1384010902416734,-0.5070381164550781,11511,254.031908100948,254.03027,197.29434204101562
