drug,n,mean_pred,median_pred,std_pred,lognorm_mu,lognorm_sigma,sw_stat,sw_pval,dp_stat,dp_pval,ks_stat,ks_pval,is_lognormal
Tivozanib (AV-951),156,173.1454,174.2708,27.9702,5.1406,0.1672,0.9731,0.0038,6.2692,0.0435,0.0773,0.2938,False
Tofacitinib (CP-690550),159,222.1538,222.5600,9.5373,5.4025,0.0430,0.9884,0.2137,3.5143,0.1725,0.0525,0.7526,True
Tozasertib (VX-680),160,217.0165,217.2490,12.6189,5.3783,0.0589,0.9806,0.0242,5.2199,0.0735,0.0602,0.5864,False
Trametinib (GSK1120212),176,140.2365,139.9161,32.5207,4.9149,0.2429,0.9445,0.0000,44.3118,0.0000,0.0902,0.1069,False
VX-745,159,197.6458,197.9600,14.6896,5.2837,0.0759,0.9721,0.0027,10.3994,0.0055,0.0603,0.5889,False
Vandetanib (ZD6474),163,226.9002,227.4033,13.1887,5.4228,0.0590,0.9807,0.0227,7.1876,0.0275,0.0484,0.8211,False
Vatalanib (PTK787),157,225.9222,225.2570,10.3413,5.4191,0.0459,0.9918,0.5083,0.2720,0.8728,0.0464,0.8716,True
Vemurafenib (PLX-4032),150,253.2259,253.3176,6.8629,5.5339,0.0273,0.9729,0.0046,16.1833,0.0003,0.0521,0.7902,False
Venetoclax,172,147.7992,152.6381,55.6616,4.9149,0.4179,0.8836,0.0000,355.9389,0.0000,0.1729,0.0001,False
Vismodegib (GDC-0449),161,278.1045,278.7340,2.8251,5.6279,0.0103,0.8448,0.0000,99.1712,0.0000,0.1210,0.0164,False
Volasertib (BI-6727),157,162.0799,161.6917,8.3329,5.0868,0.0517,0.9875,0.1718,2.7857,0.2484,0.0700,0.4061,True
XMD 8-87,45,207.1119,208.2587,11.7644,5.3317,0.0574,0.9721,0.3447,1.2626,0.5319,0.1010,0.7105,True
YM-155,159,250.7544,250.8389,5.9179,5.5242,0.0236,0.9916,0.4769,1.0954,0.5783,0.0480,0.8404,True
