feature,embed_corr_train,embed_corr_test
Epithelial_mesenchymal_transition,0.05098880618756115,0.0570279640961108
LS_236,0.04371565409496649,0.05698695485271282
LS_95,0.04058089891484357,0.056918229452694306
LS_211,0.046217677804218274,0.056875944052542156
LS_33,0.0392689223201092,0.056685000834152934
POLR2A_Expr,0.040029539528793914,0.056391336346722575
DDIT4L_Expr,0.04293145900292782,0.05576984540270716
AKAP9_Expr,0.07099207225142612,0.05574876543954561
LS_202,0.06082256460648674,0.055703015026265186
LS_229,0.023557498591287272,0.05564942623075323
FOXO1_Expr,0.039177802165771804,0.05564741166936808
LS_60,0.04977875246994655,0.05557020289605828
STRN_Expr,0.0650935305278423,0.05544684553890169
LS_138,0.06421579292936651,0.05541038155699486
LS_110,0.047945668918877145,0.05537231606956285
SEPT5_Expr,0.050873624180063914,0.055324839973079645
EWSR1_Expr,0.07967749891685452,0.05525429558325744
LS_12,0.054530270431208845,0.055251302161339465
BAX_Expr,0.027463841526556714,0.055180410120663256
AUC__PTEN_Signaling,0.07622790284104591,0.0551767991087833
AUC__HER_2_Signaling_in_Breast_Cancer,0.07359536382245367,0.0551602124998036
TEC_Expr,0.06123880194163013,0.05511418264851669
LS_111,0.045051728804253476,0.05508450323412894
HNRNPA2B1_Expr,0.028542073978969396,0.05460839683800851
PI3K_AKT_Signaling,0.07563816235127037,0.05443679229881566
SND1_Expr,0.0371638916492898,0.0542270661484241
HRAS_Expr,0.02905929283749119,0.05421526484728491
RBM10_Expr,0.05050946505904313,0.054068821406988564
PTEN_Signaling,0.08192023460194343,0.05391936200952706
JAK1_Expr,0.02848912582942227,0.05390603859535454
FUBP1_Expr,0.05882326193998008,0.05388598986139716
IRX5_Expr,0.001871477358251224,0.05368718079313978
LS_146,0.058136707472017914,0.05366377512171947
NCOA2_Expr,0.0459934043586231,0.05357781090384426
FGFR1OP_Expr,0.05897687762475039,0.05355131657450842
LS_2,0.05075184484770609,0.05350442037218863
LS_239,0.06399213124738846,0.05345371037087864
MTCP1_Expr,0.007195304906676439,0.053358201044139214
UV_response_up,0.04466323813831602,0.053170443882588896
KRAS_signaling_down,0.02455170638303131,0.05307488515385289
SRSF2_Expr,0.07145000734849166,0.05274598261863642
PBX1_Expr,0.07038799506326594,0.052691692840242464
DEFA4_Expr,0.013815840819700963,0.052680345406361684
ErbB_Signaling,0.03230838685398095,0.052456314609180474
SETBP1_Expr,0.023923340954323687,0.05245184105425525
MPL_Expr,0.0270397352025894,0.052448570222867794
LS_221,0.044441285132696934,0.05230792936233798
MDM4_Expr,0.07965470004462062,0.052181625580618236
LS_245,0.059073255439007405,0.05217754863626277
DDX10_Expr,0.04621208786585028,0.052117015379882156
FGFR4_Expr,0.05237227684006507,0.05211020680208205
Telomere_Extension_by_Telomerase,0.04757570681382405,0.052078570577827415
DEFA1B_Expr,0.006423665102324425,0.05206710552479498
LS_128,0.0360351222806636,0.05197641280437879
DROSHA_Expr,0.05297715080484295,0.05180959679127502
LS_208,0.03865876041254075,0.05171497120513558
TNFRSF14_Expr,0.030346508754737996,0.0515746639697355
TCTN2_Mut,0.0,0.051555764837210985
LS_173,0.042716431949634294,0.0515418231570285
MAPK1_Expr,0.04428997583706674,0.0514674796756313
PRKACA_Expr,0.06590972945514431,0.05138069833326885
