feature,shap_score,embedding_score,shap_norm,embedding_norm,combined_score
AC091814.2_Expr,1.8900385665893555,0.0061495258139797,0.1509325758339291,0.03084261445938709,0.0908875951466581
KDM5D_Expr,1.8824978256225586,0.0057382282810841,0.14876290003212378,0.028779280608503585,0.08877109032031369
MYCN_Expr,1.8241739654541016,0.0067579868064432,0.1319815427845309,0.0338950474605128,0.08293829512252185
RP11-424G14.1_Expr,1.7928385162353515,0.0083762293526417,0.12296548372508538,0.04201319638546348,0.08248934005527443
MDFI_Expr,1.7848859214782715,0.0086703296881972,0.12067730641174511,0.04348859346269782,0.08208294993722146
GPC6_Expr,1.8700919342041016,0.0031555288891928,0.1451933884245816,0.015822793745018736,0.08050809108480017
PPARG_Expr,1.8662512969970704,0.0033593436394577,0.14408833288053097,0.016845260061726944,0.08046679647112895
LINC00982_Expr,1.8520061492919921,0.0041623975912167,0.1399896173292422,0.020873896924887277,0.08043175712706474
HOXB6_Expr,1.6970909500122071,0.0124448627816715,0.09541631071532071,0.06242408730876091,0.07892019901204081
UTY_Expr,1.8463350677490233,0.0028891204781297,0.13835789327877787,0.014486317231686209,0.07642210525523203
RP11-704M14.1_Expr,1.8770435905456544,0.000675693407792,0.14719356859429514,0.003382338638532469,0.0752879536164138
ADAMTS2_Expr,1.7095688819885253,0.0096024603896294,0.09900655034625319,0.048164762600335316,0.07358565647329425
ST18_Expr,1.6626600456237792,0.0116948939351335,0.08550960520524185,0.05866175959121853,0.0720856823982302
ZFP57_Expr,1.827629928588867,0.0020046035903739,0.1329759171594694,0.010049009710447258,0.07151246343495833
ZFY_Expr,1.7867864608764648,0.0033918720106308,0.12122414316967038,0.017008443363321402,0.06911629326649589
DAXX_Expr,1.7042061042785646,0.0056021901482037,0.09746353367468263,0.028096825543414816,0.06278017960904872
MSLN_Expr,1.6301637649536134,0.0094799222667306,0.07615954343688468,0.047550032297382104,0.06185478786713339
SRSF2_Mut,1.730485610961914,0.0030324633366414,0.10502486086856234,0.015205417514557756,0.06011513919156005
CDH4_Expr,1.740306625366211,0.0005852733256698,0.10785063321586998,0.0029287331551031324,0.05538968318548655
PAX8-AS1_Expr,1.6894275283813476,0.0030236753252652,0.09321133635740028,0.015161331178258079,0.05418633376782918
LPHN3_Expr,1.6339134407043456,0.0043504141844878,0.07723842690162669,0.021817109490965398,0.04952776819629604
IDH1_Mut,1.4388574981689453,0.0151711935433747,0.021115539193264997,0.07610112181398639,0.04860833050362569
MEIS1_Expr,1.5655997848510743,0.0048150504488423,0.05758273435227002,0.024148024840350786,0.040865379596310404
TXLNG2P_Expr,1.3654701232910156,0.0058254489461293,0.0,0.029216835751169647,0.014608417875584824
