Metadata	Feature_Name
Patient	SETD2_x
Patient	PLAG1
Patient	IDH2_x
Patient	CREB3L2
Patient	P2RY8
Patient	RAD51B
Patient	EXT1
Patient	FES
Patient	CSF1R
Patient	LCK
Patient	RBM10
Patient	EWSR1
Patient	FANCF
Patient	BCOR_x
Patient	ZNRF3
Patient	MACC1
Patient	CHEK2
Patient	CCR4
Patient	PRKD1
Patient	MAML2
Patient	SS18L1
Patient	FOXO4
Patient	MED12
Patient	SEPT9
Patient	AMER1
Patient	SEPT5
Patient	WT1_x
Patient	ROBO2
Patient	SOCS1
Patient	MUC1
Patient	PBX1
Patient	IKZF1_x
Patient	PTCH1
Patient	BCL9L
Patient	NF2
Patient	BCR
Patient	MITF
Patient	FNBP1
Patient	TCEA1
Patient	FANCA
Patient	NUTM2B
Patient	ARID2
Patient	FHIT
Patient	PAX5
Patient	FAT4
Patient	SRGAP3
Patient	TRRAP_x
Patient	NCOR2
Patient	NACA
Patient	NF1_x
Patient	ARHGEF12
Patient	FLNA
Patient	ZNF429
Patient	SRC
Patient	SND1
Patient	BLM
Patient	TRIM33
Patient	MYO5A
Patient	PDCD1LG2
Patient	MDS2
Patient	SIRPA
Patient	CARD11
Patient	HIST1H4I
Patient	NTRK1
Patient	CTNND1
Patient	BAZ1A
Patient	MDM4
Patient	MTOR
Patient	ZNF521
Patient	TOP1
Patient	MAFB
Patient	DAXX
Patient	SDHD
Patient	TRIM27
Patient	DCTN1
Patient	TMSB4X
Patient	CRLF2
Patient	OLIG2
Patient	HLAA
Patient	FGFR1OP
Patient	MLLT11
Patient	NRAS_x
Patient	NCKIPSD
Patient	NUTM2D
Patient	MTCP1
Patient	DDX3X
Patient	FANCG
Patient	ETV5
Patient	CEBPA_x
Patient	MALAT1
Patient	LYN
Patient	LSM14A
Patient	CUX1
Patient	C15orf65
Patient	SLC4A1_x
Patient	THSD7A
Patient	PRSS21
Patient	PROM1
Patient	LTF
Patient	KDM5D
Patient	VCAN
Patient	DSG2
Patient	FOXC1
Patient	SNCAIP_x
Patient	DDX3Y
Patient	ZFY
Patient	GPC4
Patient	SPAG6
Patient	ADCY2
Patient	CEACAM6
Patient	ADAMTS2
Patient	MMP2
Patient	PHACTR3
Patient	CRISP3
Patient	PRKY
Patient	LGALS2
Patient	CHRDL1
Patient	OLFM4
Patient	MSLN
Patient	HOXA3
Patient	HOXA5
Patient	HOXA6
Patient	NPTX2
Patient	DNTT
Patient	CXCL12
Patient	HOXB6
Patient	CCL2
Patient	PPARGC1A
Patient	MDFI
Patient	PRLR
Patient	USP9Y
Patient	FN1
Patient	MMP8
Patient	NKX23
Patient	HOXB8
Patient	HOXB5
Patient	HOXB3
Patient	EPX
Patient	DPPA4
Patient	KIAA0087
Patient	HOXA7
Patient	CEACAM8
Patient	EREG
Patient	LAMP5
Patient	RPS4Y1
Patient	PXDN
Patient	TXLNG2P
Patient	BEX1
Patient	MYO18B
Patient	CA1
Patient	GSTM1
Patient	DSC2
Patient	THBS1
Patient	CDC42BPA
Patient	MEIS1
Patient	DDIT4L
Patient	ST18
Patient	LCN2
Patient	LPHN3
Patient	DOCK1
Patient	POU4F1
Patient	IGSF10
Patient	GJA1
Patient	PLEKHG4B
Patient	FGD5
Patient	PIEZO2
Patient	RBPMS
Patient	CLSTN2
Patient	ALAS2
Patient	HPGDS
Patient	DEFA4
Patient	DEFB1
Patient	CYYR1
Patient	SCN9A_x
Patient	AHSP
Patient	GYPA
Patient	CDH2
Patient	GTSF1
Patient	HOXB9
Patient	TRH
Patient	RXFP1
Patient	LAMB2
Patient	ARPP21
Patient	CSPG4
Patient	CD34
Patient	C20orf166AS1
Patient	DPP10
Patient	KCNE1L
Patient	TTTY14
Patient	IRX5
Patient	LINC00982
Patient	IRX3
Patient	CDH4
Patient	MKRN3
Patient	SLITRK4
Patient	SAGE1
Patient	NDN
Patient	GPC6
Patient	WT1AS
Patient	UTY
Patient	DLK1
Patient	PRAME
Patient	CD300E
Patient	COL4A5
Patient	HBA2
Patient	S100A16
Patient	PAX8AS1
Patient	EIF1AY
Patient	CES1
Patient	ZFP57
Patient	CASC10
Patient	CD177
Patient	DEFA1
Patient	MEG3
Patient	AC0167351
Patient	AL5897431
Patient	AC0918142
Patient	XIST
Patient	RP11388P92
Patient	HOXBAS3
Patient	AC1048094
Patient	TTTY15
Patient	DEFA3
Patient	DEFA1B
Patient	HOXA11AS
Patient	IL12AAS1
Patient	HBB
Patient	KIAA1456
Patient	RP11704M141
Patient	IGKV223
Patient	RP11129J122
Patient	RP11497G192
Patient	RP11497G191
Patient	RP11424G141
Patient	AC0047912
Patient	RP11114I84
Patient	Tsne1
Patient	Tsne2
Patient	overallSurvival
Patient	HMHypoxia
Patient	HMMitoticspindle
Patient	HMWntbetacateninsignaling
Patient	HMTGFbetasignaling
Patient	HMDNArepair
Patient	HMG2Mcheckpoint
Patient	HMApoptosis
Patient	HMNotchsignaling
Patient	HMHedgehogsignaling
Patient	HMPI3KAktmTORsignaling
Patient	HMmTORC1signaling
Patient	HME2Ftargets
Patient	HMEpithelialmesenchymaltransition
Patient	HMOxidativephosphorylation
Patient	HMGlycolysis
Patient	HMReactiveoxigenspeciespathway
Patient	HMp53pathway
Patient	HMUVresponseup
Patient	HMUVresponsedown
Patient	HMAngiogenesis
Patient	HMKRASsignalingup
Patient	HMKRASsignalingdown
Patient	HMMyctargets
Patient	HMEstrogenresponse
Patient	IPAERKMAPKSignaling
Patient	IPAHMGB1Signaling
Patient	IPAErbBSignaling
Patient	IPAPTENSignaling
Patient	IPAPI3KAKTSignaling
Patient	IPAHER2SignalinginBreastCancer
Patient	IPAmTORSignaling
Patient	IPAAMPKSignaling
Patient	IPAp38MAPKSignaling
Patient	IPAMycMediatedApoptosisSignaling
Patient	IPAEGFSignaling
Patient	IPAVEGFSignaling
Patient	IPAEstrogenDependentBreastCancerSignaling
Patient	IPATNFR1Signaling
Patient	IPAErbB2ErbB3Signaling
Patient	IPAUVCInducedMAPKSignaling
Patient	IPAUVAInducedMAPKSignaling
Patient	IPAUVBInducedMAPKSignaling
Patient	IPAERK5Signaling
Patient	IPAMismatchRepairinEukaryotes
Patient	IPATelomereExtensionbyTelomerase
Patient	TBIBarriergenes
Patient	TBIMAPKupgenes
Patient	TBIPhopholipase
Patient	LMProliferation
Patient	TPWPI3KgammaSignature
Patient	TPWNOS1Signature
Patient	TPWSHC1pSTAT3Signature
Patient	TPWHypoxiaAdenosineImmuneCellSuppression
Patient	TPWImmunogenicCellDeathICD
Patient	HSClike
Patient	Progenitorlike
Patient	GMPlike
Patient	Promonolike
Patient	Monocytelike
Patient	cDClike
Patient	M0
Patient	M1
Patient	M11
Patient	M12
Patient	M14
Patient	M16
Patient	M21
Patient	M23
Patient	M3
Patient	M4
Patient	M6
Patient	M7
Patient	M8
Patient	M9
Patient	DNMT3A_y
Patient	TET2_y
Patient	NRAS_y
Patient	TP53
Patient	RUNX1
Patient	IDH2_y
Patient	FLT3_y
Patient	SRSF2_y
Patient	WT1_y
Patient	IDH1_y
Patient	KRAS_y
Patient	SF3B1_y
Patient	U2AF1_y
Patient	GATA2_y
Patient	PTPN11_y
