CID,MolecularWeight,CanonicalSMILES,InChIKey,XLogP,Name,Targets
9951490,374.5,C1=CC=C(C(=C1)N)SC(=C(C#N)C2=CC=CC(=C2)C(C3=CC=NC=C3)O)N,NHBMKTBZZSJUGA-HEHNFIMWSA-N,2.5,MEK1/2 Inhibitor,AHR;CYP3A4;MAP2K1;MAP2K2;MAPK1;MAPK3
104937,570.6,CC1(C(C2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C7=C53)C1(O2)C)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC,IIQIEMHSDLLZQA-QZPVEUDVSA-N,4.7,Midostaurin,PRKCA;KDR;PDGFRA;PDGFRB;FLT3;KIT
11667893,373.5,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C,RAHBGWKEPAQNFF-UHFFFAOYSA-N,3.9,Motesanib (AMG-706),EGFR;FGFR1;FLT4;FLT1;KDR;KIT;MAPK14;PDGFRA;PDGFRB;RET;SRC;YES1
13925917,273.4,CC1(CC2=C(C(=O)C1)SC(=NC3=CC=CC=C3)O2)C,XFSSJIQCIPSBHJ-UHFFFAOYSA-N,3.8,NF-kB Activation Inhibitor,CCND1;IL18;IL1B;IL6;MMP9;RELA;TNF;VEGFA;XIAP
2051,315.75,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Cl)OC,GFNNBHLJANVSQV-UHFFFAOYSA-N,4,PD153035,AKT1;AQP3;BIRC5;CBL;CDK1;CDKN1A;CXCL8;CYP19A1;CYP1A2;CYP2C19;CYP2C9;CYP3A4;DNMT3A;EGF;EGFR;FOXA1;GAST;GATA3;HRAS;ICAM1;JAK2;KRT1;KRT13;KRT14;KRT16;KRT5;KRT6A;KRT6B; KRT6C;MAP2K1;MAP2K2;MAPK1;MAPK3;MIR21;MRAS;NFKB1;NFKBIA;NTS;PARP1;PLA2G4A;PPARG;PRKCA;PTGS2;PTHLH;RAF1;RARB;RB1;RECK;RELA;SPRY2;SRC;STAT3;TFAP2A;TGIF1;TNF;TP63;TRIM29; VCAM1
4713,267.28,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2,QFWCYNPOPKQOKV-UHFFFAOYSA-N,2.9,PD98059,MAP2K1;MAP2K2;MAPK1;MAPK3;FOS;JUN;ETS;ELK1
3311,248.27,CCSC(=NC1=CC=C(C=C1)C(F)(F)F)N,LCMOXIFARISMOH-UHFFFAOYSA-N,3.2,PI-103,"ABCB1;ABCC1;AKT1;BAK1;BAX;BBC3;BCL2;BCL2L1;BCL2L11;BID;CASP3;CASP9;CASP7;CASP8,CLK4;DAPK3;EGF;H2AX;HIF1A;HIPK2;MAP2K1;MAP2K2;MAPK1;MAPK3;MCL1;MTOR;NOTCH1;PDK1;PDPK1; PIK3C2A;PIK3C2B;PIK3C2G;PIK3C3;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PIK3R1;PIK3R2;PIK3R3;PIK3R4;PIK3R5;PIK3R6;PIM3;PMAIP1;PRKDC;RPS6;TP53;XIAP"
4878,301.77,CC(C)(C)N1C2=NC=NC(=C2C(=N1)C3=CC=C(C=C3)Cl)N,PBBRWFOVCUAONR-UHFFFAOYSA-N,3,PP2,ABL1;ACAT1;ACVR1;ADRB1;AKT1;ALOX5;ARHGAP35;ARNT;BAD;BAX;BCL2;BIRC3;BMP2;BTK;CASP3;CAV1;CCNA2;CCND1;CDC25C;CDH1;CDK5;CDK8;CDKN1A;CDKN1B;CLK4;CSF1;CSNK1A1;CTNNB1;CTSD; CXCL8;CYP1A1;CYP1A2;CYP2C19;DAPK3;EGF;EGFR;ESR1;ESRRA;FGR;FOS;FOXO3;FYN;HCK;HIF1A;HOXA7;ICAM1;IGF1R;IQGAP1;IRF7;ITGAM;ITGAV;ITGB3;JUN;KDR;KMT2A;KRT14;KRT18;L1CAM;LCK;LYN; MAP2K1;MAP2K2;MAP2K6;MAP3K5;MAPK1;MAPK10;MAPK14;MAPK3MAPK8;MAPK9;MELK;MIF;MIR21;MMP2;MMP9;MYC;MYLK;NCF1;NCOR1;NCOR2;NFE2L2;NFKB1;NFKBIA;NOS3;P2RY1;PDGFRA;PDGFRB; PLCG2;PRKACA;PRKCD;PTGS2;PTK2;PXN;RELA;RHOA;RRM2;SERPINB2;SIK2;SMAD3;SNAI1;SNAI2;SNCA;SRC;STAT3;STAT5B;STS;TEC;TFF1;THRB;TNF;TNK2;TP53;TYMS;VCAM1;VDR;VEGFA;VIM;VMP1;PR
44595079,445.5,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N,BGLPECHZZQDNCD-UHFFFAOYSA-N,1.9,PRT062070,CSF1R;JAK1;JAK2;JAK3;MAP3K9;NUAK1;SYK;STK4;TYK2
216467,467.9,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)F)Cl)C#N)NC(=O)C=CCN(C)C,WVUNYSQLFKLYNI-UHFFFAOYSA-N,4.5,Pelitinib (EKB-569),AKT1;BAX;BCL10;BCL2;BCL2L1;BCL3;BIRC5;BIRC2;EGFR;ERBB2;ERBB4;IKBKB;NAIP;NFKB1;NFKBIA;RELA;SP1
3292,204.22,CCN1C(=O)C(NC1=O)C2=CC=CC=C2,SZQIFWWUIBRPBZ-UHFFFAOYSA-N,1,R406,AKT1;BST2;COX1;CXCL10;FABP4;GLI1;IFI27;IFI35;IFIT1;IFIT3;IFITM1;IL1B;IRF7;IRF9;ISG15;KLHL31;MAPK1;MAPK3;MX1;MX2;OAS2;PRDM16;RSAD2;SDHA;SFRP5;SHH;SOCS3;STAT1;STAT3;SYK;TNF;UCP1
