Column_Label,Type
RC3H2,Gene_Expr
IL17RB,Gene_Expr
TRAF3IP2,Gene_Expr
GYG2,Gene_Expr
DCBLD2,Gene_Expr
SERPINB3,Gene_Expr
SOAT1,Gene_Expr
PKP2,Gene_Expr
MSH4,Gene_Expr
F7,Gene_Expr
GDI2,Gene_Expr
PRDM1,Gene_Expr
ATG5,Gene_Expr
TMCC3,Gene_Expr
PITHD1,Gene_Expr
MTA3,Gene_Expr
USP13,Gene_Expr
ATP11B,Gene_Expr
LAMC2,Gene_Expr
CDK14,Gene_Expr
SEC61A1,Gene_Expr
PPP1R12A,Gene_Expr
RASGRF1,Gene_Expr
CAMK2B,Gene_Expr
CROCC,Gene_Expr
POLR3E,Gene_Expr
ATP2B4,Gene_Expr
ZC3H11A,Gene_Expr
RIOK2,Gene_Expr
YIPF1,Gene_Expr
NDC1,Gene_Expr
DGKG,Gene_Expr
FLYWCH1,Gene_Expr
UNKL,Gene_Expr
TBXAS1,Gene_Expr
PARP12,Gene_Expr
ALDH18A1,Gene_Expr
TARBP1,Gene_Expr
GATB,Gene_Expr
MXD1,Gene_Expr
CDK17,Gene_Expr
DNAJC25,Gene_Expr
SLC2A3,Gene_Expr
PSD,Gene_Expr
CTDP1,Gene_Expr
YBX3,Gene_Expr
STYK1,Gene_Expr
WNK1,Gene_Expr
CCAR1,Gene_Expr
OGFR,Gene_Expr
GNA15,Gene_Expr
CREB3L3,Gene_Expr
PIGV,Gene_Expr
PTPRU,Gene_Expr
SNRNP40,Gene_Expr
RIMBP2,Gene_Expr
COL11A1,Gene_Expr
QSER1,Gene_Expr
MPC1,Gene_Expr
ACAA1,Gene_Expr
BCAT1,Gene_Expr
HDAC7,Gene_Expr
LZTS1,Gene_Expr
PRDM6,Gene_Expr
WNT8A,Gene_Expr
SPAG4,Gene_Expr
NCKAP1,Gene_Expr
MRPS35,Gene_Expr
GUCY1B1,Gene_Expr
SFSWAP,Gene_Expr
TNK2,Gene_Expr
MON2,Gene_Expr
CDH3,Gene_Expr
ARSF,Gene_Expr
GPBP1,Gene_Expr
DGAT2,Gene_Expr
ZNF112,Gene_Expr
CS,Gene_Expr
LTK,Gene_Expr
MRPS24,Gene_Expr
ELMO2,Gene_Expr
WAPL,Gene_Expr
VMP1,Gene_Expr
APPBP2,Gene_Expr
POLD1,Gene_Expr
SEZ6,Gene_Expr
EIF4B,Gene_Expr
SLC6A16,Gene_Expr
BICRA,Gene_Expr
SPHK2,Gene_Expr
RPL18,Gene_Expr
CA11,Gene_Expr
ISOC2,Gene_Expr
U2AF2,Gene_Expr
EPN1,Gene_Expr
MED29,Gene_Expr
